TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,YEARS_EMPLOYED
0,Cash loans,F,Y,Y,1,175500,997335,32301,-14516,8
0,Cash loans,F,N,,1,112500,292500,19480.5,-14374,4
0,Cash loans,F,,N,0,112500,201474,19755,-24786,-1000
0,Cash loans,M,Y,N,0,450000,2220259.5,58698,-12905,4
0,Cash loans,F,,Y,1,90000,454500,21996,-12927,5
1,Cash loans,M,,Y,0,225000,740088,35734.5,-9908,2
0,Cash loans,M,Y,N,1,157500,435253.5,13194,-11073,7
0,Cash loans,M,N,Y,0,135000,298512,29655,-8117,2
0,Cash loans,M,N,N,0,135000,450000,23692.5,-11274,3
0,Cash loans,M,Y,Y,0,,260640,28197,-12546,150
0,Cash loans,M,N,N,0,112500,416052,12744,-12070,4
0,Cash loans,M,N,N,0,270000,450000,22018.5,-15967,18
0,Cash loans,M,Y,Y,0,135000,545040,26640,-9324,2
0,Cash loans,F,Y,Y,1,,785398.5,31275,-16266,12
0,Cash loans,F,N,Y,0,135000,558841.5,24745.5,-20982,-1000
0,Cash loans,F,,N,0,121500,675000,34465.5,-20712,2
0,Cash loans,F,,N,1,157500,1046142,28899,-13177,3
0,Cash loans,M,Y,Y,0,202500,1256400,44644.5,-16237,5
0,Cash loans,F,Y,Y,1,157500,225000,23755.5,-11035,1
0,Cash loans,F,N,N,0,112500,316125,9711,-19291,-1000
0,Cash loans,M,Y,Y,0,,215640,14715,-21447,1
0,Cash loans,F,N,Y,0,112500,135000,13482,-10263,1
0,Cash loans,F,,N,0,,601470,30838.5,-14560,16
0,Cash loans,F,N,N,0,157500,117000,11700,-20792,-1000
0,Cash loans,F,Y,Y,1,135000,301500,28188,-14577,3
0,Cash loans,F,N,Y,0,67500,119925,11812.5,-22026,-1000
0,Revolving loans,M,N,,0,,270000,13500,-21714,2
1,Cash loans,M,Y,,1,180000,1078200,31653,-15160,11
1,Cash loans,F,N,,0,130500,582228,18909,-23468,-1000
0,Cash loans,M,Y,,0,450000,675000,49117.5,-20754,5
0,Cash loans,F,N,,1,90000,225000,18040.5,-16125,24
0,Cash loans,M,,,2,360000,935640,88839,-14198,7
0,Cash loans,M,N,Y,2,225000,640080,29970,-18513,2
0,Cash loans,F,N,Y,1,,107820,7420.5,-12971,1
0,Cash loans,M,Y,Y,347,,229500,17887.5,-10629,3
0,Cash loans,F,N,N,0,270000,495000,45805.5,-15659,0
0,Cash loans,F,N,N,0,,1125000,31702.5,-23693,-1000
0,Cash loans,F,N,Y,0,135000,647046,23899.5,-16288,1
0,Cash loans,M,Y,Y,0,202500,1078200,31653,-20404,0
0,Cash loans,M,N,N,0,,225000,14647.5,-11287,10
1,Cash loans,F,,Y,0,157500,254700,17149.5,-24081,-1000
0,Cash loans,F,N,Y,0,202500,521280,33835.5,-23457,-1000
0,Cash loans,F,N,N,0,135000,450000,21780,-16585,16
0,Cash loans,F,N,Y,0,225000,1319269.5,36409.5,-13589,3
0,Cash loans,F,N,Y,0,,677664,27207,-16855,1
0,Cash loans,M,Y,N,0,360000,473760,53581.5,-13201,11
0,Cash loans,F,N,N,0,112500,325908,16663.5,-17616,9
0,Cash loans,F,,Y,0,,1360498.5,37543.5,-20237,-1000
0,Cash loans,F,N,N,0,90000,269550,11871,-16271,4
1,Cash loans,F,N,Y,3,58500,384048,18031.5,-10141,1
0,Cash loans,F,Y,Y,1,270000,871335,47398.5,-10391,7
0,Cash loans,M,,N,0,211500,52128,6313.5,-15982,16
0,Cash loans,F,N,N,0,90000,675000,27229.5,-9642,0
0,Cash loans,F,N,Y,1,,521280,28408.5,-11084,2
0,Cash loans,F,N,Y,1,180000,585000,29997,-18596,1
0,Cash loans,M,Y,Y,0,180000,454500,54067.5,-11323,9
0,Cash loans,F,Y,Y,1,135000,629320.5,30406.5,-11062,6
0,Cash loans,F,Y,Y,0,,840780,35752.5,-21481,7
0,Cash loans,F,N,N,2,76500,215640,19777.5,-10279,0
0,Cash loans,F,N,N,0,157500,1173060,48541.5,-21870,11
0,Cash loans,M,Y,Y,0,256500,691551,54769.5,-16372,17
0,Cash loans,F,Y,Y,0,450000,521280,40468.5,-15290,14
0,Cash loans,M,N,Y,1,180000,1345500,47668.5,-14982,10
0,Cash loans,F,Y,Y,3,45000,473661,23166,-15674,1
0,Cash loans,F,N,N,0,,432661.5,23598,-9839,2
0,Cash loans,M,,Y,0,,1314117,38551.5,-13906,1
0,Revolving loans,F,Y,Y,0,99000,247500,12375,-18260,12
0,Cash loans,F,Y,N,1,135000,675000,24246,-15317,22
0,Cash loans,F,,Y,1,166500,1288350,37800,-15570,0
0,Cash loans,F,,Y,0,180000,328405.5,23485.5,-23625,7
0,Cash loans,F,N,Y,0,202500,509922,27297,-21559,-1000
0,Revolving loans,F,N,Y,0,67500,270000,13500,-22266,-1000
0,Cash loans,F,N,Y,0,,1054755,34857,-22334,6
0,Cash loans,F,N,Y,0,72000,57564,5823,-21779,-1000
0,Cash loans,F,N,Y,0,297000,224136,12645,-19929,27
0,Cash loans,M,,Y,0,180000,294322.5,23382,-16899,1
0,Cash loans,F,,N,0,90000,312768,13378.5,-23536,-1000
0,Cash loans,F,N,Y,0,,1013508,26865,-21437,-1000
0,Cash loans,F,N,Y,0,189000,704844,28084.5,-20299,-1000
0,Cash loans,F,N,Y,0,247500,331834.5,14746.5,-16951,19
0,Cash loans,M,,N,1,180000,810000,34317,-19094,8
0,Cash loans,M,,N,1,270000,625536,30222,-12826,5
0,Revolving loans,F,N,Y,0,81000,225000,11250,-10815,2
0,Cash loans,F,N,Y,1000,,697500,29682,-21390,0
0,Cash loans,F,N,Y,1,247500,252531,20376,-9490,1
0,Cash loans,F,N,N,0,112500,545040,26509.5,-14179,2
1,Cash loans,M,Y,N,0,157500,927000,29466,-13007,6
0,Cash loans,F,,,0,67500,94500,4545,-17212,10
0,Cash loans,M,Y,,0,337500,781920,61906.5,-10133,2
0,Cash loans,F,,,0,,301464,23949,-9774,2
0,Cash loans,F,,,0,90000,229500,15336,-18224,3
0,Cash loans,F,,,99999,67500,47970,5296.5,-11765,5
0,Cash loans,M,,,1,,630000,47232,-17989,4
0,Revolving loans,M,Y,Y,0,,202500,10125,-19648,-1000
0,Cash loans,F,N,Y,0,67500,450000,23107.5,-9978,5
0,Cash loans,F,N,Y,1,112500,562932,30667.5,-13488,6
0,Cash loans,F,N,Y,0,180000,1224198,35923.5,-17283,5
0,Cash loans,F,,Y,0,,1219500,35788.5,-17426,-1000
0,Cash loans,M,N,Y,0,135000,139500,11151,-20629,8
1,Cash loans,F,N,N,0,90000,74182.5,6804,-15848,2
0,Cash loans,M,N,Y,0,115200,468733.5,30649.5,-16075,1
0,Cash loans,M,N,Y,0,117000,247500,12766.5,-19814,34
0,Cash loans,F,Y,Y,0,175500,760225.5,36702,-19095,33
NA,Cash loans,M,Y,Y,0,202500,1206000,31810.5,-18038,28
0,Cash loans,F,N,N,1,112500,781920,32998.5,-10119,9
0,Revolving loans,F,N,Y,0,,270000,13500,-17489,4
0,Revolving loans,M,Y,Y,0,315000,810000,40500,-23052,14
0,Cash loans,M,Y,N,1,,876816,38754,-15926,1
0,Cash loans,F,N,N,0,54000,225000,12694.5,-22314,-1000
1,Cash loans,F,N,N,0,99000,1133748,33147,-19914,-1000
0,Cash loans,F,N,Y,0,90000,601470,30838.5,-17276,12
1,Cash loans,M,Y,Y,0,,247275,17716.5,-23104,-1000
0,Cash loans,M,Y,N,0,135000,237024,17374.5,-19584,0
0,Cash loans,M,Y,Y,0,180000,1436850,46480.5,-20201,2
0,Cash loans,F,N,N,0,36000,225000,11502,-23183,-1000
0,Cash loans,F,N,N,0,225000,2517300,66532.5,-20575,12
0,Cash loans,M,Y,N,0,135000,508495.5,24592.5,-12032,6
0,Revolving loans,M,Y,N,1,135000,270000,13500,-16456,6
0,Cash loans,F,N,N,0,126000,814041,23800.5,-17605,7
0,Cash loans,F,N,N,0,,127350,12402,-24769,-1000
0,Cash loans,M,,N,0,382500,1665000,114201,-12363,1
0,Cash loans,F,N,Y,0,112500,566055,16222.5,-20684,-1000
0,Cash loans,F,N,Y,2,135000,1078200,34780.5,-12529,1
0,Cash loans,M,,YES,1,157500,1381113,38110.5,-12156,1
0,Revolving loans,F,N,Y,0,126000,270000,13500,-7762,0
0,Cash loans,F,Y,N,0,135000,900000,32458.5,-19856,3
0,Cash loans,F,N,Y,0,67500,521280,25209,-16165,1
0,Cash loans,F,,Y,0,,254700,14751,-24065,-1000
0,Cash loans,F,,Y,2,189000,495000,30411,-11773,9
0,Cash loans,F,Y,N,0,144000,807984,26703,-16020,8
0,Cash loans,F,N,Y,0,,284400,16456.5,-24409,-1000
0,Cash loans,M,Y,Y,0,135000,422451,15304.5,-22194,-1000
0,Cash loans,F,N,N,1,90000,675000,21906,-9733,8
0,Cash loans,F,,Y,0,112500,256500,20394,-19984,8
0,Revolving loans,F,Y,Y,0,270000,810000,40500,-21946,-1000
0,Cash loans,M,,Y,0,103500,159264,7875,-23244,-1000
0,Cash loans,F,N,Y,0,,675000,21906,-23401,-1000
0,Cash loans,F,N,N,0,99000,545040,26640,-12333,2
0,Cash loans,M,,Y,0,,123993,5589,-20827,-1000
0,Cash loans,M,N,Y,1,,276277.5,12298.5,-9916,2
0,Cash loans,F,Y,Y,0,,1288350,37669.5,-18359,3
1,Cash loans,F,N,N,1,,138204,7186.5,-10144,3
0,Revolving loans,F,N,Y,0,,135000,6750,-23371,-1000
0,Revolving loans,F,Y,Y,0,90000,180000,9000,-7718,3
0,Cash loans,F,N,N,0,108000,422235,18598.5,-22981,-1000
0,Cash loans,F,N,N,1,157500,884844,49405.5,-11018,11
0,Cash loans,F,N,N,1,,161730,7254,-8729,3
1,Cash loans,F,N,N,0,,244584,13788,-22479,-1000
0,Cash loans,F,N,Y,0,112500,1113133.5,32674.5,-21864,2
0,Cash loans,M,Y,Y,236,,1561500,43069.5,-16543,4
0,Revolving loans,F,N,Y,0,180000,450000,22500,-23237,-1000
0,Cash loans,F,N,Y,0,,296280,16200,-22751,11
0,Cash loans,M,,N,2,202500,909000,36180,-13613,3
0,Cash loans,F,,Y,0,157500,835380,42840,-18007,17
0,Cash loans,F,N,N,1,,567000,18418.5,-20154,3
0,Cash loans,F,N,N,1,132750,254700,14751,-10992,0
1,Cash loans,F,N,Y,0,,157050,8649,-11155,2
0,Cash loans,F,N,,2,135000,634482,20596.5,-12882,3
0,Revolving loans,F,N,,0,202500,270000,13500,-12927,7
0,Cash loans,F,N,,0,67500,675000,22437,-19035,21
1,Cash loans,F,N,N/A,0,,403330.5,15336,-20745,-1000
0,Cash loans,F,N,N/A,0,,460858.5,22545,-12380,0
0,Cash loans,M,,N/A,0,108000,225000,18040.5,-20592,-1000
0,Cash loans,F,N,N/A,2,144000,1288350,37800,-12650,0
0,Revolving loans,M,N,N/A,0,225000,225000,11250,-21165,-1000
1,Cash loans,M,Y,N/A,0,211500,450000,21888,-10037,0
0,Cash loans,F,N,N/A,0,202500,454500,44275.5,-10369,6
0,Cash loans,M,N,N/A,0,,389844,18882,-22675,-1000
0,Cash loans,F,N,N/A,0,,508495.5,22527,-19717,25
0,Cash loans,F,N,N/A,2,67500,249606,16807.5,-13542,18
0,Cash loans,F,,N/A,0,112500,302206.5,15952.5,-23813,-1000
0,Cash loans,F,,N/A,0,157500,119893.5,12415.5,-13366,12
0,Cash loans,M,N,N/A,1,,521280,37201.5,-14399,18
1,Cash loans,M,N,N,0,67500,247986,12789,-21940,-1000
0,Cash loans,F,N,N,0,135000,573628.5,26712,-19702,4
0,Revolving loans,M,Y,Y,0,81000,180000,9000,-23060,-1000
0,Cash loans,F,N,Y,0,144000,808650,23773.5,-18221,5
0,Cash loans,F,N,Y,0,,822942,26545.5,-23698,-1000
0,Cash loans,M,N,Y,1,405000,781920,28215,-14168,2
1,Cash loans,M,,Y,1,162000,260640,27499.5,-8639,2
0,Cash loans,F,,Y,0,270000,835380,31950,-19484,10
0,Cash loans,M,N,Y,0,67500,98910,7164,-17626,2
0,Cash loans,F,N,Y,0,157500,536917.5,21685.5,-19631,5
0,Cash loans,F,Y,N,0,90000,112068,8982,-22631,-1000
0,Cash loans,M,,Y,0,135000,545040,26640,-8053,1
0,Revolving loans,F,,Y,0,112500,405000,20250,-19345,6
0,Cash loans,F,N,N,1,121500,807984,31576.5,-13586,9
0,Cash loans,F,,Y,1,,528633,22527,-13899,7
0,Cash loans,F,N,N,1,,265500,14031,-11093,2
0,Cash loans,F,N,Y,0,139500,398016,31576.5,-9635,1
0,Cash loans,M,,Y,0,135000,327024,25965,-9322,6
0,Cash loans,F,,N,1,157500,253737,27454.5,-10972,7
1,Cash loans,M,,N,0,202500,545040,35617.5,-10262,1
0,Cash loans,F,N,N,0,,528633,22527,-19080,15
1,Cash loans,F,,Y,1,103500,1467612,59904,-16624,16
0,Cash loans,F,N,Y,0,,755190,32125.5,-14018,0
0,Cash loans,F,N,Y,0,157500,781920,25542,-22662,-1000
0,Cash loans,M,Y,N,0,270000,225000,11650.5,-11266,1
0,Cash loans,M,Y,Y,1,157500,387000,30078,-12934,4
0,Cash loans,F,,Y,1,90000,197820,15664.5,-16346,5
0,Cash loans,M,Y,N,0,,561393,20295,-20031,0
0,Cash loans,M,Y,N,0,90000,227520,15331.5,-14628,0
0,Cash loans,F,Y,Y,0,157500,100737,10845,-10700,0
1,Cash loans,F,N,Y,1,162000,1024740,52452,-15945,17
0,Revolving loans,M,N,N,1,157500,405000,20250,-13800,1
0,Cash loans,F,Y,N,0,49500,544491,17694,-13518,10
0,Cash loans,F,,Y,0,,312840,18090,-14114,3
0,Cash loans,F,N,Y,0,,1125000,39987,-14961,4
0,Cash loans,M,Y,YES,1,157500,900000,29034,-14800,19
0,Cash loans,F,N,Y,0,,787131,30762,-22375,17
0,Cash loans,M,N,Y,0,225000,327024,21982.5,-12463,0
0,Cash loans,M,N,Y,1,,269550,21739.5,-11031,0
0,Cash loans,F,N,N,1,112500,247500,12811.5,-15589,4
0,Cash loans,M,Y,N,1,,218938.5,23706,-10840,2
1,Cash loans,F,N,N,3,90000,835380,40320,-15980,18
0,Cash loans,F,N,Y,1,67500,555273,16366.5,-19724,-1000
0,Cash loans,M,,Y,0,,1272456,52641,-22570,-1000
0,Cash loans,M,N,Y,0,112500,622413,31909.5,-8460,0
0,Cash loans,F,N,Y,0,,1113133.5,31252.5,-20776,3
0,Cash loans,F,Y,N,0,225000,562491,23832,-21073,-1000
0,Cash loans,M,N,N,1,202500,260640,26707.5,-11510,1
0,Cash loans,F,N,Y,0,144000,801000,34065,-23456,-1000
0,Cash loans,F,,Y,0,94500,143910,14148,-22529,-1000
0,Cash loans,F,,Y,0,270000,1078200,31522.5,-13974,14
0,Cash loans,F,N,Y,0,112500,808650,26217,-15559,15
0,Cash loans,F,N,Y,0,135000,675000,21906,-20215,-1000
0,Cash loans,M,Y,N,0,225000,314100,21375,-9685,3
0,Cash loans,M,N,N,0,,691020,22288.5,-14014,4
0,Cash loans,F,N,N,0,103500,1305000,38155.5,-18910,-1000
0,Cash loans,M,Y,Y,0,90000,450000,16033.5,-18142,6
0,Cash loans,F,N,Y,0,180000,1345500,54801,-15954,20
0,Cash loans,F,,Y,0,,381528,13702.5,-20973,-1000
0,Cash loans,F,Y,N,0,,679500,26946,-17544,29
0,Cash loans,M,Y,N,1,135000,585000,43870.5,-10972,0
0,Cash loans,M,Y,Y,0,,539100,29376,-16029,1
0,Cash loans,F,N,N,0,225000,135000,9598.5,-13599,5
0,Cash loans,M,N,Y,0,67500,80865,6385.5,-8910,4
0,Cash loans,F,,N,0,157500,2013840,53122.5,-23602,-1000
0,Cash loans,F,Y,Y,2,225000,1256400,36864,-14091,15
1,Cash loans,M,Y,N,0,,521280,28408.5,-13936,9
1,Cash loans,M,Y,Y,1,,728460,57685.5,-10895,9
0,Cash loans,F,,Y,0,85500,338832,20605.5,-18865,6
0,Cash loans,F,N,N,0,157500,954207,33934.5,-14528,8
0,Cash loans,F,,Y,1,166500,837000,24601.5,-14544,2
0,Cash loans,M,Y,Y,0,225000,254700,18531,-9884,1
0,Cash loans,F,N,Y,0,225000,592560,31153.5,-16401,24
0,Cash loans,F,N,Y,1,157500,993082.5,42205.5,-16872,9
0,Cash loans,F,N,N,0,135000,227520,8172,-19434,25
0,Cash loans,M,,Y,1,225000,1024780.5,52452,-10545,4
0,Cash loans,F,N,N,2,135000,1071000,31315.5,-12729,8
0,Cash loans,M,,N,0,202500,715095,49770,-11690,6
0,Cash loans,F,N,N,0,,654498,28957.5,-20597,-1000
0,Cash loans,F,Y,Y,0,81000,675000,24376.5,-18839,3
0,Cash loans,F,Y,Y,0,202500,780363,31077,-21241,-1000
0,Cash loans,F,Y,Y,2,90000,360000,15858,-12619,1
0,Cash loans,F,N,Y,0,157500,1288350,37800,-15113,8
1,Cash loans,M,N,Y,0,247500,364896,19926,-12428,6
0,Cash loans,F,,Y,0,193500,1426500,37629,-22335,-1000
0,Cash loans,F,Y,Y,0,234000,760225.5,30280.5,-19859,28
1,Cash loans,F,N,Y,0,315000,740700,31266,-17775,7
0,Cash loans,M,N,Y,0,112500,326439,16006.5,-9048,0
0,Revolving loans,M,Y,Y,1,315000,180000,9000,-13264,3
0,Cash loans,F,N,N,0,,239850,23139,-23183,-1000
1,Cash loans,F,,Y,1,103500,225000,17905.5,-17734,12
0,Cash loans,F,N,Y,0,126000,675000,22437,-21829,-1000
0,Cash loans,F,,Y,0,,450000,27531,-17398,13
0,Cash loans,M,,N,0,90000,1125000,29808,-21505,5
0,Revolving loans,F,N,N,0,90000,247500,12375,-21320,-1000
0,Cash loans,F,N,Y,1,,835380,35523,-16851,3
0,Cash loans,F,,Y,0,,691020,20335.5,-19484,22
0,Cash loans,F,N,N,0,58500,277969.5,9981,-20905,-1000
0,Cash loans,F,N,N,1,112500,497520,25402.5,-19042,4
0,Cash loans,M,Y,Y,1,,835380,40320,-16492,18
1,Cash loans,M,Y,Y,1,,675000,20668.5,-19884,7
0,Cash loans,F,N,N,1,112500,247275,19953,-14780,0
0,Cash loans,M,Y,N,0,180000,352044,17253,-17928,1
0,Cash loans,M,N,Y,0,202500,333000,16150.5,-18945,-1000
0,Cash loans,F,Y,N,0,382500,1350000,42390,-19927,7
0,Cash loans,M,Y,Y,0,81000,254700,16713,-13715,1
0,Cash loans,M,N,Y,0,157500,199080,15727.5,-19189,31
0,Revolving loans,F,N,Y,0,157500,270000,13500,-22787,4
0,Cash loans,F,N,Y,0,90000,284400,16011,-20235,36
0,Revolving loans,F,N,Y,0,157500,315000,15750,-14842,22
0,Cash loans,F,Y,N,2,,710640,74754,-12788,11
0,Cash loans,F,Y,Y,1,103500,545040,25407,-9892,5
0,Cash loans,F,N,Y,0,126000,730017,31059,-23431,-1000
0,Cash loans,F,,N,1,,972000,54405,-12680,3
0,Cash loans,F,N,Y,0,135000,403330.5,18931.5,-12044,7
0,Cash loans,M,Y,Y,1,225000,948582,33736.5,-8953,1
0,Cash loans,F,N,Y,1,,855463.5,52465.5,-19540,1
0,Cash loans,M,Y,N,0,,1223010,48501,-21166,2
0,Cash loans,F,Y,N,0,202500,253737,25227,-17668,1
1,Cash loans,F,N,N,0,,436032,21339,-20963,-1000
0,Revolving loans,F,Y,Y,0,,540000,27000,-19553,5
0,Revolving loans,M,Y,Y,0,112500,270000,13500,-11906,3
0,Cash loans,F,,N,0,,545040,25407,-15616,1
0,Cash loans,F,N,Y,0,157500,1574532,60102,-17343,24
0,Revolving loans,F,N,Y,0,,180000,9000,-9065,0
1,Cash loans,M,Y,N,0,166500,239850,25447.5,-9647,4
0,Cash loans,F,Y,N,0,160200,1724220,45612,-14545,17
0,Cash loans,M,Y,Y,0,202500,539100,26064,-19572,3
0,Cash loans,F,N,Y,0,202500,760225.5,32337,-21940,39
0,Revolving loans,F,N,Y,0,112500,202500,10125,-19846,14
0,Cash loans,M,N,Y,0,,522000,22113,-14798,1
0,Cash loans,F,N,N,0,67500,269550,16285.5,-19060,4
0,Cash loans,F,Y,Y,0,,700830,20619,-20792,0
0,Revolving loans,F,N,Y,0,135000,180000,9000,-17093,6
0,Cash loans,F,N,Y,2,207000,1152000,40945.5,-15342,0
0,Cash loans,F,,N,1,135000,808650,26217,-11629,7
1,Cash loans,F,,Y,0,180000,532345.5,42187.5,-10884,2
1,Cash loans,M,Y,N,0,247500,225000,12915,-14964,15
0,Cash loans,F,N,Y,0,,314100,16033.5,-14335,5
0,Cash loans,F,N,Y,0,,528318,26973,-19008,4
0,Cash loans,M,N,Y,0,49500,172512,7726.5,-12087,9
1,Cash loans,M,N,N,2,85500,1288350,37795.5,-17764,3
0,Cash loans,F,,Y,0,675000,804649.5,76531.5,-16014,-1000
0,Cash loans,M,,N,2,,1078200,38200.5,-12765,1
0,Cash loans,F,N,N,0,81000,381528,17914.5,-14417,9
0,Cash loans,F,N,Y,0,90000,888840,29506.5,-20974,-1000
0,Revolving loans,F,N,Y,1,81000,270000,13500,-9342,6
0,Cash loans,F,N,Y,0,81000,547344,30690,-16934,4
0,Cash loans,F,N,Y,0,,621000,18288,-21822,4
0,Cash loans,F,N,Y,1,,1105083,39825,-10093,1
0,Cash loans,F,N,Y,0,135000,562500,23962.5,-14993,23
0,Cash loans,F,Y,Y,0,,639396,24354,-17113,28
0,Cash loans,M,Y,Y,0,81000,152820,15016.5,-24979,-1000
0,Cash loans,F,N,Y,2,,244998,10921.5,-13298,2
0,Cash loans,M,,Y,0,292500,1164667.5,37701,-15174,3
0,Cash loans,M,,N,0,,327024,10044,-18864,-1000
0,Cash loans,F,Y,Y,0,630000,1418868,72076.5,-19095,24
0,Revolving loans,F,N,Y,0,,180000,9000,-18141,24
0,Cash loans,F,N,Y,0,162000,521280,40468.5,-22658,-1000
0,Cash loans,M,N,Y,2,157500,332946,17127,-14505,6
0,Cash loans,F,N,Y,0,135000,500211,26649,-15748,5
0,Cash loans,M,N,Y,1,157500,260640,27499.5,-20188,-1000
0,Cash loans,F,N,Y,0,,358443,13509,-19586,8
0,Cash loans,F,N,Y,1,135000,450000,17095.5,-15849,2
0,Cash loans,F,Y,Y,0,148500,252531,17959.5,-16714,8
0,Cash loans,F,,Y,2,157500,1125000,37309.5,-12647,0
0,Cash loans,F,N,Y,0,112500,191880,18819,-17133,1
0,Cash loans,M,N,Y,0,135000,675000,34596,-21846,39
1,Cash loans,F,N,Y,0,90000,854352,27688.5,-22799,-1000
0,Cash loans,M,Y,N,0,,290088,7780.5,-22015,-1000
0,Cash loans,M,Y,N,0,292500,629325,32260.5,-13262,13
0,Revolving loans,F,,Y,2,135000,405000,20250,-14308,13
0,Cash loans,F,N,N,0,,422235,25645.5,-11609,1
0,Cash loans,F,,Y,0,,263686.5,28107,-13693,18
0,Cash loans,F,N,N,2,220500,1293502.5,37948.5,-12677,4
1,Cash loans,F,,N,1,,450000,35554.5,-11167,2
0,Cash loans,F,,Y,0,54000,185314.5,14769,-23423,-1000
0,Cash loans,F,N,Y,3,180000,585000,28273.5,-13626,11
0,Cash loans,F,Y,N,0,315000,675000,66892.5,-13331,15
0,Cash loans,M,,N,2,,1030680,69007.5,-11559,5
0,Cash loans,M,Y,Y,0,270000,484861.5,35410.5,-10597,3
0,Cash loans,F,N,Y,1,135000,862560,25348.5,-14388,3
0,Cash loans,M,Y,N,0,112500,485640,38263.5,-11458,0
1,Cash loans,F,N,Y,0,112500,491823,26811,-19306,1
0,Revolving loans,F,N,Y,0,148500,405000,20250,-20074,7
0,Cash loans,F,,Y,0,135000,323194.5,20785.5,-13161,7
0,Cash loans,F,N,Y,0,,830214,24403.5,-16987,27
0,Cash loans,F,N,N,0,142200,1125000,29808,-10728,5
0,Cash loans,F,N,Y,0,,376920,16731,-19247,0
0,Cash loans,F,Y,Y,0,180000,191880,19791,-22446,-1000
0,Cash loans,F,,N,0,112500,378180,10836,-12428,15
0,Cash loans,F,N,N,3,189000,450000,47254.5,-11473,7
0,Cash loans,F,N,Y,2,,286704,20520,-17076,3
0,Cash loans,F,Y,Y,0,315000,1575000,64998,-14514,6
0,Cash loans,F,,Y,0,,504000,21483,-22356,-1000
0,Revolving loans,M,N,N,0,,180000,9000,-10381,3
0,Cash loans,M,N,Y,2,,348264,36697.5,-10594,10
0,Cash loans,F,N,Y,0,135000,291384,29857.5,-21963,-1000
1,Cash loans,F,N,Y,0,135000,801000,23548.5,-19176,-1000
0,Cash loans,M,,N,2,,1288350,37800,-14193,7
0,Cash loans,M,,Y,0,180000,252000,25951.5,-14343,14
0,Cash loans,M,N,Y,1,,1231663.5,36013.5,-8133,1
0,Cash loans,F,N,N,1,,360000,18418.5,-14434,9
0,Cash loans,F,Y,N,1,337500,900000,48082.5,-13797,9
0,Cash loans,F,N,N,0,,1288350,37800,-18203,4
0,Revolving loans,F,N,Y,2,112500,180000,9000,-11505,1
0,Cash loans,F,,N,0,67500,454500,19386,-20798,-1000
0,Cash loans,F,,Y,0,,1512796.5,52713,-20972,20
0,Revolving loans,F,,Y,1,,202500,10125,-13553,0
0,Cash loans,M,,Y,0,,337500,16546.5,-17852,-1000
0,Cash loans,F,N,N,1,292500,1256400,36864,-15801,7
0,Cash loans,F,N,Y,0,126000,819432,24088.5,-21910,-1000
0,Cash loans,F,N,Y,0,90000,61128,6174,-22613,-1000
1,Cash loans,M,N,Y,1,121500,288873,15376.5,-20620,4
1,Cash loans,M,Y,Y,2,180000,755190,36459,-13343,6
0,Cash loans,F,Y,Y,2,135000,729792,35109,-15093,2
